move;english;korean;time front camera;time left camera;time back camera;time right camera;info
1;Sitting Stance Palm Pushing Block;Annun So Sonbadak Miro Makgi;2.9;5,642;0,647;1,823;
2;Sitting Stance Front Forefist Middle Punch;Annun So Ap Joomuk Kaunde Jirugi;4.4;7,07;1,969;3,345;
3;Sitting Stance Front Forefist Middle Punch;Annun So Ap Joomuk Kaunde Jirugi;5.8;8,55;3,525;4,856;
4;L-Stance Twin Forearm Block;Niunja So Sang Palmok Makgi;7.8;10,444;5,51;6,757;
5;L-Stance Front Forefist Upward Punch;Niunja So Ap Joomuk Ollyo Jirugi;9.2;11,895;6,934;8,222;
6;Fixed Stance Front Forefist Middle Obverse Punch;Gojung So Ap Joomuk Kaunde Baro Jirugi;10.9;13,7;8,754;9,902;Perform 6 in a sliding motion forward
7;Vertical Stance Knifehand Downward Strike;Soojik So Sonkal Naeryo Taerigi;12.1;14,899;9,865;11,118;
8;Walking Stance Front Forefist Middle Obverse Punch;Gunnun So Ap Joomuk Kaunde Baro Jirugi;13.8;16,615;11,684;12,902;
9;Walking Stance Outer Forearm Low Obverse Block;Gunnun So Bakat Palmok Najunde Makgi;15.6;18,5;13,441;14,645;
10;Walking Stance Front Forefist Middle Obverse Punch;Gunnun So Ap Joomuk Kaunde Baro Jirugi;17.4;20,407;15,171;16,443;
11;Pull the left foot toward the right foot ;Bring the left palm to the right forefist;18.5;21,481;16,389;17,381;
12;L-Stance Knifehand Middle Side Strike;Niunja Sogi Sonkal Kaunde Yop Taerigi;21.4;24,222;19,345;20,526;
13;Walking Stance Front Forefist Middle Obverse Punch;Gunnun So Ap Joomuk Kaunde Baro Jirugi;23.3;26,136;21,212;22,349;
14;Walking Stance Front Forefist Middle Obverse Punch;Gunnun So Ap Joomuk Kaunde Baro Jirugi;24.9;27,918;22,867;24,04;
15;L-Stance Knifehand Guarding Block;Niunja So Sonkal Kaunde Daebi Makgi;26.8;29,631;24,754;25,982;
16;Walking Stance Straight Fingertip Thrust ;Gunnun So Sun Sonkut Tulgi;28.8;31,565;26,724;27,795;
17;L-Stance Knifehand Guarding Block;Niunja So Sonkal Kaunde Daebi Makgi;31.4;34,223;29,359;30,361;
18;High Turning Kick;Nopunde Dollyo Chagi;32.6;35,571;30,437;31,619;Perform 18 and 19 in a fast motion
19;High Turning Kick;Nopunde Dollyo Chagi;33.9;36,639;31,615;32,802;
20;Walking Stance Outer Forearm Low Obverse Block;Gunnun Sogi Bakat Palmok Najunde Makgi;37.5;40,496;35,388;36,523;
21;L-Stance Front Forefist Middle Obverse Punch;Niunja So Ap Joomuk Kaunde Baro Jirugi;39.4;42,118;37,111;38,26;
22;L-Stance Front Forefist Middle Obverse Punch;Niunja So Ap Joomuk Kaunde Baro Jirugi;41.1;44,071;39,063;40,158;
23;L-Stance Front Forefist Middle Obverse Punch;Niunja So Ap Joomuk Kaunde Baro Jirugi;43.0;45,912;40,897;42,027;
24;Walking Stance X-Fist Pressing Block;Gunnun So Kyocha Joomuk Noollo Makgi;44.9;48,041;42,975;44,022;
25;L-Stance Side Elbow Thrust;Niunja So Yop Palkup Tulgi;47.0;50,225;45,253;46,288;
26;Close Stance Inner Forearm High Side Front Block;Moa So An Palmok Nopunde Yopap Makgi;49.1;51,958;46,97;48,158;
27;Close Stance Inner Forearm High Side Front Block ;Moa So An Palmok Nopunde Yopap Makgi;50.7;53,241;48,285;49,561;
28;L-Stance Knifehand Guarding Block;Niunja So Sonkal Kaunde Daebi Makgi;52.7;55,141;50,23;51,547;
29;L-Stance Knifehand Guarding Block;Niunja So Sonkal Kaunde Daebi Makgi;55.5;57,894;52,953;54,543;
